Ano,Lei,Modificação
1943,"Redação dada pelo Decreto-Lei nº 5.922, de 1943",2
1943,"Redação dada pelo Decreto-Lei nº 5.922, de 1943",2
1943,"Redação dada pelo Decreto-Lei nº 5.922, de 1943",2
1943,"Redação dada pelo Decreto-lei nº 6.110, de 16.12.1943",2
1943,"Redação dada pelo Decreto-lei nº 6.053, de 30.11.1943",2
1943,"Incluído pelo Decreto-lei nº 6.110, de 16.12.1943",0
1943,"Incluído pelo Decreto-lei nº 6.110, de 16.12.1943",0
1944,"Redação dada pelo Decreto-lei nº 6.353, de 20.3.1944",2
1944,"Incluído pelo Decreto-lei nº 6.353, de 20.3.1944",0
1944,"Incluído pelo Decreto-lei nº 6.353, de 20.3.1944",0
1944,"Incluído pelo Decreto-lei nº 6.353, de 20.3.1944",0
1945,"Redação dada pelo Decreto-lei nº 8.079, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.079, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.079, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 8.080, 11.10.1945",2
1945,"Redação dada pelo Decreto-lei nº 7.321, de 14.2.1945",2
1945,"Redação dada pelo Decreto-lei nº 7.321, de 14.2.1945",2
1945,"Incluído pelo Decreto-lei nº 8.079, 11.10.1945",0
1945,"Incluído pelo Decreto-lei nº 8.080, 11.10.1945",0
1945,"Incluído pelo Decreto-lei nº 8.080, 11.10.1945",0
1945,"Incluído pelo Decreto-lei nº 8.080, 11.10.1945",0
1945,"Incluído pelo Decreto-lei nº 8.080, 11.10.1945",0
1945,"Revogado pelo Decreto-lei nº 8.249, de 1945",1
1945,"Revogado pelo Decreto-lei nº 7.321, de 14.2.1945",1
1945,"Revogado pelo Decreto-lei nº 7.321, de 14.2.1945",1
1946,"Redação dada pelo Decreto-lei nº 9.666, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 9.666, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 9.666, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 9.666, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 9.666, de 1946",2
1946,"Redação dada pelo Decreto-Lei nº 9.852, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 8.740, de 19.1.1946, com vigência suspensa pelo Decreto-lei nº 8.987-A, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 8.740, de 19.1.1946, com vigência suspensa pelo Decreto-lei nº 8.987-A, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 8.740, de 19.1.1946, com vigência suspensa pelo Decreto-lei nº 8.987-A, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 8.740, de 19.1.1946, com vigência suspensa pelo Decreto-lei nº 8.987-A, de 1946",2
1946,"Redação dada pelo Decreto-lei nº 8.740, de 19.1.1946, com vigência suspensa pelo Decreto-lei nº 8.987-A, de 1946",2
